start_time,rat_period_start,rat_period_end,sum_rat_minutes,avg_rat_arrival_number,avg_bat_landing_number,avg_food_availability,risk,reward,habit,seconds_after_rat_arrival,bat_landing_to_food,bat_landing_number,food_availability,rat_arrival_number,bat_landing_number2,food_availability2,rat_minutes,rat_minutes2,rat_arrival_number2,month,season,sunset_time,hours_after_sunset,motevation,decision time
2018-05-04 23:36,2018-05-04 23:33,2018-05-04 23:36,3.083333333,1.0,20.0,3.0,1,0,rat,167,16.0,20,3.0,1,,,3.083333333,,,5,1,2018-05-04 19:23,4.226111111,3.0,183.0
2017-12-28 19:46,2017-12-28 19:35,2017-12-28 19:46,2.5,1.0,23.0,3.07696661,1,0,rat,607,24.0,23,3.07696661,1,,,2.5,,,0,0,2017-12-28 16:44,3.033611111,3.07696661,631.0
2018-05-17 23:49,2018-05-17 23:49,2018-05-17 23:58,8.983333333,1.0,28.0,2.0,1,0,bat_and_rat,28,3.0,28,2.0,1,,,8.983333333,,,5,1,2018-05-17 19:32,4.299166667,2.0,31.0
2018-04-29 20:50,2018-04-29 20:37,2018-04-29 20:53,4.983333333,1.0,17.0,3.104218362,1,1,bat_rat_pick,759,14.0,17,3.104218362,1,,,4.983333333,,,4,1,2018-04-29 19:19,1.5175,3.104218362,773.0
2018-01-27 23:46,2018-01-27 23:44,2018-01-27 23:50,6.083333333,1.0,64.0,2.55,1,0,rat,122,31.0,64,2.55,1,,,6.083333333,,,1,0,2018-01-27 17:09,6.621666667,2.55,153.0
2018-04-04 00:49,2018-04-04 00:48,2018-04-04 00:58,10.86666667,1.0,49.0,2.0,1,0,other_bats/rat,59,22.0,49,2.0,1,,,10.86666667,,,4,1,2018-04-03 19:01,5.801111111,2.0,81.0
2018-02-10 00:49,2018-02-10 00:49,2018-02-10 00:51,4.883333333,2.0,67.0,1.2232597625,1,0,rat,56,2.0,83,1.421052632,3,51.0,1.025466893,4.1,0.783333333,1.0,2,0,2018-02-09 17:21,7.4825,0.710526316,58.0
2018-04-29 03:46,2018-04-29 03:33,2018-04-29 03:48,13.68333333,2.0,29.0,1.433333333,1,1,rat_pick,740,26.0,29,1.433333333,2,,,13.68333333,,,4,1,2018-04-28 19:19,8.450555556,0.7166666665,766.0
2018-02-08 02:07,2018-02-08 02:05,2018-02-08 02:09,4.166666667,2.0,53.0,1.037351443,1,0,rat,99,7.0,53,1.037351443,2,,,4.166666667,,,2,0,2018-02-07 17:19,8.803888889,0.5186757215,106.0
2018-04-27 03:23,2018-04-27 03:22,2018-04-27 03:25,5.516666667,2.0,28.0,1.0,1,0,rat_and_bat,17,0.042707344,28,1.0,2,,,5.516666667,,,4,1,2018-04-26 19:17,8.101388889,0.5,17.042707344
2018-04-22 03:43,2018-04-22 03:31,2018-04-22 03:44,26.199999997,2.0,22.0,2.0,1,0,bat_and_rat,734,23.0,20,2.0,2,24.0,2.0,24.73333333,1.466666667,2.0,4,1,2018-04-21 19:14,8.497777778,1.0,757.0
2018-02-08 02:08,2018-02-08 02:05,2018-02-08 02:09,4.166666667,2.0,53.0,1.037351443,1,0,rat,200,4.0,53,1.037351443,2,,,4.166666667,,,2,0,2018-02-07 17:19,8.831944444,0.5186757215,204.0
2018-05-02 01:35,2018-05-02 01:34,2018-05-02 01:36,1.9,2.0,36.0,3.0,1,0,rat,99,2.0,36,3.0,2,,,1.9,,,5,1,2018-05-01 19:21,6.248333333,1.5,101.0
2018-03-20 02:11,2018-03-20 02:11,2018-03-20 02:11,4.483333333,2.0,30.0,2.896118097,1,1,rat_pick,46,4.0,30,2.896118097,2,,,4.483333333,,,3,1,2018-03-19 17:51,8.347222222,1.4480590485,50.0
